customer_id,customer_name,email,city,state,age,gender,membership,last_purchase,total_spent
1,Customer_1,customer1@mail.com,Hyderabad,TS,53,Male,Platinum,2025-12-14,4011.13
2,Customer_2,customer2@mail.com,Delhi,DL,,Male,Gold,2025-07-06,4516.53
3,Customer_3,customer3@mail.com,Mumbai,MH,65,Female,Platinum,2026-04-15,8383.93
4,Customer_4,customer4@mail.com,Delhi,DL,39,Male,Gold,2026-05-16,3646.09
5,Customer_5,customer5@mail.com,Hyderabad,TS,62,Female,Gold,2026-03-16,1514.76
6,Customer_6,customer6@mail.com,Pune,MH,59,Male,Silver,2025-05-24,8506.96
7,Customer_7,customer7@mail.com,Chennai,TN,33,Female,Platinum,2026-04-30,1153.05
8,Customer_8,customer8@mail.com,Delhi,DL,,Male,Platinum,2025-03-23,6485.85
9,Customer_9,customer9@mail.com,Pune,MH,,Female,Platinum,2025-11-19,9631.17
10,Customer_10,customer10@mail.com,Bengaluru,KA,36,Male,Platinum,2026-03-13,5433.73
11,Customer_11,customer11@mail.com,Mumbai,MH,36,Female,Silver,2025-04-26,9327.25
12,Customer_12,customer12@mail.com,Bengaluru,KA,,Female,Platinum,2026-03-12,2103.09
13,Customer_13,customer13@mail.com,Mumbai,MH,,Male,Silver,2025-01-23,4329.97
14,Customer_14,customer14@mail.com,Delhi,DL,,Male,Gold,2025-02-01,1444.17
15,Customer_15,customer15@mail.com,Chennai,TN,,Male,Gold,2025-12-07,6442.3
16,Customer_16,customer16@mail.com,Mumbai,MH,51,Female,Gold,2025-09-12,7200.01
17,Customer_17,customer17@mail.com,Bengaluru,KA,,Female,Gold,2025-01-24,4635.66
18,Customer_18,customer18@mail.com,Delhi,DL,20,Male,Platinum,2025-08-19,5951.57
19,Customer_19,customer19@mail.com,Chennai,TN,60,Female,Gold,2025-06-27,1609.14
20,Customer_20,customer20@mail.com,Chennai,TN,,Female,Platinum,2026-01-11,8110.33
21,Customer_21,customer21@mail.com,Pune,MH,,Male,Platinum,2026-04-12,264.19
22,Customer_22,customer22@mail.com,Delhi,DL,,Female,Platinum,2025-12-03,6875.33
23,Customer_23,,Pune,MH,35,Female,Silver,2025-10-27,7188.79
24,Customer_24,customer24@mail.com,Delhi,DL,40,Male,Gold,2025-08-04,3414.72
25,Customer_25,customer25@mail.com,Mumbai,MH,26,Male,Platinum,2025-11-17,2205.89
26,Customer_26,customer26@mail.com,Pune,MH,43,Male,Gold,2026-01-26,6760.25
27,Customer_27,customer27@mail.com,Pune,MH,,Male,Silver,2026-03-16,404.45
28,Customer_28,customer28@mail.com,Delhi,DL,57,Female,Silver,2025-02-18,4829.48
29,Customer_29,customer29@mail.com,Mumbai,MH,45,Female,Gold,2025-09-09,9319.74
30,Customer_30,customer30@mail.com,Bengaluru,KA,20,Male,Platinum,2026-01-01,7189.94
31,Customer_31,customer31@mail.com,Hyderabad,TS,62,Male,Gold,2025-10-11,1485.35
32,Customer_32,customer32@mail.com,Bengaluru,KA,38,Female,Silver,2025-06-29,1296.87
33,Customer_33,customer33@mail.com,Pune,MH,,Male,Platinum,2026-05-14,8740.09
34,Customer_34,customer34@mail.com,Bengaluru,KA,31,Male,Gold,2025-07-09,5723.15
35,Customer_35,customer35@mail.com,Chennai,TN,19,Female,Gold,2025-12-29,3884.16
36,Customer_36,customer36@mail.com,Bengaluru,KA,,Female,Platinum,2025-02-23,6007.31
37,Customer_37,customer37@mail.com,Delhi,DL,56,Male,Gold,2025-06-16,1232.53
38,Customer_38,customer38@mail.com,Mumbai,MH,26,Male,Gold,2025-12-05,6524.2
39,Customer_39,customer39@mail.com,Chennai,TN,30,Female,Silver,2025-08-21,550.48
40,Customer_40,customer40@mail.com,Hyderabad,TS,,Male,Gold,2025-01-23,4785.84
41,Customer_41,customer41@mail.com,Mumbai,MH,,Female,Gold,2025-09-13,744.09
42,Customer_42,customer42@mail.com,Mumbai,MH,,Male,Gold,2025-09-22,1699.95
43,Customer_43,customer43@mail.com,Bengaluru,KA,61,Male,Silver,2025-12-28,6073.05
44,Customer_44,customer44@mail.com,Chennai,TN,24,Female,Silver,2025-04-06,7848.15
45,Customer_45,customer45@mail.com,Mumbai,MH,38,Male,Silver,2025-08-09,2080.19
46,Customer_46,customer46@mail.com,Mumbai,MH,39,Female,Silver,2025-10-23,598.23
47,Customer_47,customer47@mail.com,Hyderabad,TS,26,Female,Silver,2025-03-01,7410.32
48,Customer_48,customer48@mail.com,Chennai,TN,,Female,Gold,2025-12-20,7130.96
49,Customer_49,customer49@mail.com,Delhi,DL,,Male,Platinum,2025-01-28,4487.96
50,Customer_50,customer50@mail.com,Delhi,DL,,Male,Silver,2025-02-02,7011.6
51,Customer_51,customer51@mail.com,Pune,MH,,Female,Platinum,2025-09-12,3726.74
52,Customer_52,customer52@mail.com,Mumbai,MH,58,Female,Gold,2026-01-09,2848.96
53,Customer_53,customer53@mail.com,Chennai,TN,54,Female,Silver,2026-05-11,3879.42
54,Customer_54,customer54@mail.com,Mumbai,MH,40,Male,Gold,2026-02-18,1124.9
55,Customer_55,customer55@mail.com,Mumbai,MH,,Male,Platinum,2025-11-10,4297.73
56,Customer_56,customer56@mail.com,Mumbai,MH,,Female,Silver,2025-06-24,5100.31
57,Customer_57,customer57@mail.com,Mumbai,MH,,Female,Gold,2025-12-11,436.37
58,Customer_58,customer58@mail.com,Chennai,TN,41,Female,Gold,2025-09-23,3238.85
59,Customer_59,customer59@mail.com,Bengaluru,KA,,Female,Platinum,2025-11-30,6670.8
60,Customer_60,customer60@mail.com,Hyderabad,TS,,Female,Silver,2025-06-01,260.79
