customer_id,customer_name
C00023,Siddharth Zacharia
C00038,Wahab Raval
C00047,Prisha Andra
C00056,Radha Pai
C00081,Charles Palla
C00089,Rajata Loyal
C00100,Vritti Chauhan
C00116,Bhavya Rattan
C00132,Balendra Biswas
C00161,Siya Thakur
C00173,Amara Balakrishnan
C00208,Ridhi Shenoy
C00210,Zaitra Dash
C00242,Gabriel Bhatti
C00255,Yuvraj Dutta
C00256,Wishi Morar
C00291,Theodore Deol
C00314,Varenya Joshi
C00341,Saumya Vala
C00373,Nilima Swamy
C00384,Neha Varma
C00402,Kevin Ram
C00418,Nandini Biswas
C00438,Orinder Pandya
C00440,Darsh Chahal
C00450,Lucky Choudhry
C00452,Edhitha Ghosh
C00459,Harrison Srinivas
C00492,Urvi Deo
C00500,Pratyush Memon
C00508,Radha Sanghvi
C00514,Siddharth Bains
C00518,Zinal Madan
C00523,Harrison Kunda
C00525,Pooja D’Alia
C00526,Falguni Parmar
C00533,Rachita Kothari
C00541,Januja Sethi
C00544,Tanvi Halder
C00555,Lopa Khanna
C00556,Chatura Arya
C00569,Ekbal Dube
